City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,new norfolk,-42.7826,147.0587,13.84,52,42,1.49,AU,1697580871
294,naxos,37.1056,25.3764,21.28,75,43,1.34,GR,1697580872
295,arraial do cabo,-22.9661,-42.0278,23.92,88,0,2.57,BR,1697580872
296,papao,-17.75,-149.55,27.82,81,93,8.35,PF,1697580873
297,priozersk,61.0393,30.1291,2.22,87,96,3.68,RU,1697580873
298,kismayo,-0.3582,42.5454,26.07,88,84,5.35,SO,1697580874
299,povarovo,56.0667,37.05,3.23,89,100,6.18,RU,1697580875
300,hua hin,12.5707,99.9588,26.01,89,75,0.0,TH,1697580876
301,nar'yan-mar,67.6713,53.087,1.17,89,100,4.02,RU,1697580876
302,arteche,12.2645,125.4048,25.87,82,79,1.27,PH,1697580877
303,chul'man,56.8479,124.9104,-2.03,63,100,2.24,RU,1697580744
304,mezhdurechenskiy,59.6,65.9333,11.84,73,0,4.47,RU,1697580878
305,concepcion,-36.827,-73.0498,16.89,67,0,3.6,CL,1697580879
306,fort pierce,27.4467,-80.3256,22.25,54,0,3.58,US,1697580597
307,peshawar,34.008,71.5785,15.08,88,20,0.0,PK,1697580715
308,novyy urgal,51.0736,132.5642,2.77,82,100,0.7,RU,1697580880
309,tulnici,45.9167,26.6667,3.17,72,20,1.45,RO,1697580880
310,greater sudbury,46.49,-80.99,11.7,66,0,1.27,CA,1697580601
311,suntar,62.1444,117.6319,-1.59,93,97,1.79,RU,1697580881
312,bamboo flat,11.7,92.7167,26.05,94,75,0.0,IN,1697580882
313,kununurra,-15.7667,128.7333,19.99,73,1,0.0,AU,1697580882
314,calama,-22.4667,-68.9333,20.17,22,7,6.37,CL,1697580847
315,namibe,-15.1961,12.1522,17.75,82,48,2.36,AO,1697580882
316,nkove,-7.95,30.85,24.73,74,72,1.23,TZ,1697580883
317,taos,36.4072,-105.5731,25.22,13,0,7.72,US,1697580884
318,santa maria,-29.6842,-53.8069,18.07,98,100,2.78,BR,1697580512
319,sanchursk,56.9413,47.2499,2.88,86,100,8.67,RU,1697580885
320,verkhnedneprovskiy,54.9813,33.3457,2.73,90,46,4.91,RU,1697580886
321,martapura,-3.4167,114.85,24.05,94,20,1.03,ID,1697580886
322,kapuskasing,49.4169,-82.4331,12.0,54,0,3.6,CA,1697580887
323,nekrasovka,48.3525,135.2325,4.26,77,0,3.0,RU,1697580887
324,puerto aysen,-45.4,-72.7,13.74,90,99,0.93,CL,1697580888
325,satun,6.8333,100.0,25.0,97,100,1.04,TH,1697580889
326,wellington point,-27.4833,153.25,22.93,60,75,4.12,AU,1697580890
327,kandahar,31.0,65.75,15.34,21,30,1.24,AF,1697580890
328,fort morgan,40.2503,-103.8,30.36,13,0,5.14,US,1697580827
329,bousso,10.4795,16.7117,27.39,52,11,2.03,TD,1697580891
330,cill airne,52.05,-9.5167,12.29,94,100,6.38,IE,1697580724
331,barra de santo antonio,-9.4047,-35.5072,24.6,81,86,4.71,BR,1697580893
332,carnarvon,-24.8667,113.6333,21.61,46,0,8.6,AU,1697580893
333,chandbali,20.7833,86.7667,24.08,82,8,1.92,IN,1697580894
334,kapa'a,22.0752,-159.319,29.18,69,40,3.6,US,1697580895
335,merizo village,13.2658,144.6691,27.77,93,97,4.36,GU,1697580896
336,port saint john's,-31.6229,29.5448,17.12,86,16,5.15,ZA,1697580896
337,wynyard,-41.0,145.7167,11.35,54,5,0.97,AU,1697580897
338,banda aceh,5.5577,95.3222,26.02,79,100,5.28,ID,1697580897
339,padang,-0.9492,100.3543,24.03,90,100,1.14,ID,1697580898
340,island harbour,50.724,-1.2758,13.9,81,100,6.26,GB,1697580898
341,palikir - national government center,6.9248,158.1611,31.41,70,75,2.06,FM,1697580899
342,castillos,-34.1667,-53.8333,10.36,78,7,5.12,UY,1697580899
343,yerofey pavlovich,53.9667,121.9667,-3.86,98,96,1.13,RU,1697580901
344,guangyuan,32.442,105.823,14.72,88,88,2.06,CN,1697580901
345,arapgir,39.0412,38.4952,13.58,58,11,0.38,TR,1697580902
346,shima,24.4478,117.8111,23.01,76,47,1.26,CN,1697580903
347,valparaiso,-33.0393,-71.6273,16.38,64,20,4.12,CL,1697580905
348,velyka dymerka,50.5918,30.9011,4.34,56,5,3.66,UA,1697580906
349,tarauaca,-8.1614,-70.7656,32.0,52,81,1.5,BR,1697580908
350,luanda,-8.8368,13.2343,25.0,83,75,3.09,AO,1697580909
351,port macquarie,-31.4333,152.9167,18.27,60,100,4.16,AU,1697580659
352,formosa do rio preto,-11.0483,-45.1931,27.52,21,2,1.9,BR,1697580910
353,nanakuli,21.3906,-158.1547,30.97,58,100,3.6,US,1697580911
354,monte santo de minas,-21.1897,-46.9803,26.69,49,97,1.54,BR,1697580912
355,sisimiut,66.9395,-53.6735,-7.09,86,83,3.32,GL,1697580912
356,achikulak,44.5517,44.8378,9.68,49,98,1.68,RU,1697580913
357,waverly,42.7392,-84.6208,12.09,73,100,2.06,US,1697580914
358,tandil,-37.3217,-59.1332,12.05,50,0,3.56,AR,1697580914
359,salinopolis,-0.6136,-47.3561,26.49,86,57,5.02,BR,1697580915
